cache_size,policy,hit_ratio,avg_latency,p95_latency,origin_load
20,LRU,0.317195,71.45245,100,136561.0
20,LFU,0.39878,64.1098,100,120244.0
20,RANDOM,0.269615,75.73465,100,146077.0
0,NOCACHE,0.0,100.0,100,200000.0
50,LRU,0.46374,58.2634,100,107252.0
50,LFU,0.503805,54.65755,100,99239.0
50,RANDOM,0.40781,63.2971,100,118438.0
0,NOCACHE,0.0,100.0,100,200000.0
100,LRU,0.57822,47.9602,100,84356.0
100,LFU,0.56891,48.7981,100,86218.0
100,RANDOM,0.522445,52.97995,100,95511.0
0,NOCACHE,0.0,100.0,100,200000.0
200,LRU,0.69761,37.2151,100,60478.0
200,LFU,0.67422,39.3202,100,65156.0
200,RANDOM,0.64897,41.5927,100,70206.0
0,NOCACHE,0.0,100.0,100,200000.0
