alpha,policy,hit_ratio,avg_latency,p95_latency,origin_load
0.6,LRU,0.22203,80.0173,100,155594.0
0.6,LFU,0.183365,83.49715,100,163327.0
0.6,RANDOM,0.202535,81.77185,100,159493.0
0.8,LRU,0.380675,65.73925,100,123865.0
0.8,LFU,0.351355,68.37805,100,129729.0
0.8,RANDOM,0.33698,69.6718,100,132604.0
1.0,LRU,0.57822,47.9602,100,84356.0
1.0,LFU,0.56891,48.7981,100,86218.0
1.0,RANDOM,0.522445,52.97995,100,95511.0
1.2,LRU,0.757105,31.86055,100,48579.0
1.2,LFU,0.76112,31.4992,100,47776.0
1.2,RANDOM,0.70822,36.2602,100,58356.0
